airlineIataCode,airlineIcaoCode,airlineName,airlineCallSign,airlineCountry
SK,SAS,Scandinavian Airlines,SCANDINAVIAN,Sweden
WS,WJA,WestJet,WESTJET,Canada
DT,DTA,TAAG Angola Airlines,DTA,Angola
HA,HAL,Hawaiian Airlines,HAWAIIAN,United States
PG,BKP,Bangkok Airways,BANGKOK AIR,Thailand
UL,ALK,SriLankan Airlines,SRILANKAN,Sri Lanka
DE,CFG,Condor,CONDOR,Germany
JL,JAL,Japan Airlines,JAPANAIR,Japan
SQ,SIA,Singapore Airlines,SINGAPORE,Singapore
ET,ETH,Ethiopian Airlines,ETHIOPIAN,Ethiopia
V8,IAR,Iliamna Air Taxi,ILIAMNA AIR,United States
A3,AEE,Aegean Airlines,AEGEAN,Greece
HG,NLY,Niki,FLYNIKI,Austria
SY,SCX,Sun Country Airlines,SUN COUNTRY,United States
D7,XAX,AirAsia X,XANADU,Malaysia
M5,KEN,Kenmore Air,KENMORE,United States
SA,SAA,South African Airways,SPRINGBOK,South Africa
HO,DKH,Juneyao Airlines,JUNEYAO AIRLINES,China
9W,JAI,Jet Airways,JET AIRWAYS,India
EK,UAE,Emirates Airlines,EMIRATES,United Arab Emirates
SG,SEJ,Spicejet,SPICEJET,India
UN,TSO,Transaero Airlines,TRANSOVIET,Russia
LF,VTE,Contour Airlines,VOLUNTEER,United States
SR,SWR,Swiss Int'l Air Lines,SWISSAIR,Switzerland
NH,ANA,All Nippon Airways,ALL NIPPON,Japan
DL,DAL,Delta Air Lines,DELTA,United States
TS,TSC,Air Transat,AIR TRANSAT,Canada
M3,SPJ,Air Service,AIR SKOPJE,Macedonia
WN,SWA,Southwest Airlines,SOUTHWEST,United States
BA,BAW,British Airways,SPEEDBIRD,United Kingdom
PD,POE,Porter Airlines,PORTER,Canada
HM,SEY,Air Seychelles,SEYCHELLES,Seychelles
CA,CCA,Air China,AIR CHINA,China
PR,PAL,Philippine Airlines,PHILIPPINE,Philippines
QJ,,Jet Airways,,United States
KE,KAL,Korean Air,KOREANAIR,South Korea
TZ,SCO,Scoot,SCOOTER,Singapore
HU,CHH,Hainan Airlines,HAINAN,China
FI,ICE,Icelandair,ICEAIR,Iceland
CZ,CSN,China Southern Airlines,CHINA SOUTHERN,China
QR,QTR,Qatar Airways,QATARI,Qatar
AI,AIC,Air India,AIRINDIA,India
TG,THA,Thai Airways International,THAI,Thailand
D8,IBK,Norwegian Air,NORTRANS,Ireland
CM,CMP,Copa Airlines,COPA,Panama
AD,AZU,Azul Linhas Aereas Brasileiras,Azul,Brazil
F9,FFT,Frontier Airlines,FRONTIER FLIGHT,United States
ZK,GLA,Great Lakes Airlines,LAKES AIR,United States
AS,ASA,Alaska Airlines,ALASKA,United States
NK,NKS,Spirit Airways,SPIRIT WINGS,United States
AZ,AZA,Alitalia,ALITALIA,Italy
WW,WOW,WOW Air,WOW air,Iceland
GA,GIA,Garuda Indonesia,INDONESIA,Indonesia
AC,ACA,Air Canada,AIR CANADA,Canada
AB,BER,Air Berlin,AIR BERLIN,Germany
9K,KAP,Cape Air,CAIR,United States
TJ,GPD,Tradewind Aviation,GOODSPEED,United States
CX,CPA,Cathay Pacific Airways,CATHAY,Hong Kong
8V,WRF,Wright Air Service,WRIGHT FLYER,United States
NZ,ANZ,Air New Zealand,NEW ZEALAND,New Zealand
KC,KZR,Air Astana,ASTANALINE,Kazakhstan
KQ,KQA,Kenya Airways,KENYA,Kenya
AV,AVA,Avianca,AVIANCA,Colombia
AF,AFR,Air France,AIRFRANS,France
EY,ETD,Etihad Airways,ETIHAD,United Arab Emirates
WY,OMA,Oman Air,OMAN AIR,Oman
