fromTerminal,fromConcourse,toTerminal,toConcourse,fromTerminalLastGate,toTerminalFirstGate,nextTerminalDistanceUnits,flagToRenterSecurity,connectionText
C,Pre-Security,B,B,-15,-1,80,Y,
C,Pre-Security,B,B2,-15,51,60,Y,
C,Pre-Security,B,B3,-15,63,40,Y,
C,Pre-Security,B,Pre-Security,-15,-2,20,Y,
C,Pre-Security,P3,Car-Rental-Counters,-15,-1,20,Y,
C,Pre-Security,P4,Daily-Parking,-15,-1,40,Y,
P3,Car-Rental-Counters,A,A1,-1,0,180,Y,
P3,Car-Rental-Counters,A,A2,-1,0,160,Y,
P3,Car-Rental-Counters,A,A3,-1,0,140,Y,
P3,Car-Rental-Counters,A,Pre-Security,-1,-1,120,Y,
P3,Car-Rental-Counters,B,B1,-1,-1,100,Y,
P3,Car-Rental-Counters,B,B2,-1,51,80,Y,
P3,Car-Rental-Counters,B,B3,-1,63,60,Y,
P3,Car-Rental-Counters,B,Pre-Security,-1,-2,40,Y,
P3,Car-Rental-Counters,C,Pre-Security,-1,-2,20,Y,
P3,Car-Rental-Counters,P4,Daily-Parking,-1,-1,20,Y,
P4,Daily-Parking,A,A1,-1,0,200,Y,
P4,Daily-Parking,A,A2,-1,0,180,Y,
P4,Daily-Parking,A,A3,-1,0,160,Y,
P4,Daily-Parking,A,Pre-Security,-1,-1,140,Y,
P4,Daily-Parking,B,B1,-1,-1,120,Y,
P4,Daily-Parking,B,B2,-1,51,100,Y,
P4,Daily-Parking,B,B3,-1,63,80,Y,
P4,Daily-Parking,B,Pre-Security,-1,-2,60,Y,
P4,Daily-Parking,C,Pre-Security,-1,-2,40,Y,
P4,Daily-Parking,P3,Car-Rental-Counters,-1,-1,20,Y,
